1,2,3,4,5,6,7,8,9,10
2.375,0.26249993,-0.037499964,0.23750001,0.012499988,0.48750007,1.2749999,-0.012499988,-0.11249995,0.47500002
-1.125,-0.1875,-0.037499964,0.23750001,-0.0625,-0.41250002,-1.425,-0.012499988,-0.11249995,0.07500005
-0.375,0.26249993,-0.037499964,0.23750001,-0.0625,-0.41250002,1.2749999,-0.012499988,-0.11249995,0.07500005
-0.375,-0.1875,-0.037499964,-0.08749999,-0.0625,0.5625,-1.425,-0.012499988,-0.11249995,0.07500005
2.375,0.26249993,-0.037499964,-0.08749999,-0.0625,-0.41250002,1.2749999,-0.012499988,0.5625,0.375
-1.125,-0.1875,-0.037499964,0.087499976,-0.0625,0.7125001,-1.425,-0.012499988,-0.11249995,0.07500005
-1.125,-0.1875,-0.037499964,0.087499976,-0.0625,-0.7125,1.2749999,-0.012499988,-0.11249995,0.07500005
-0.375,0.4124999,-0.037499964,-0.08749999,-0.0625,-0.1875,-0.525,-0.012499988,-0.11249995,0.07500005
2.375,-0.4875,-0.037499964,-0.08749999,-0.0625,-0.1875,-0.525,-0.012499988,-0.11249995,0.07500005
-1.125,0.26249993,0.037499964,0.23750001,0.16250002,0.5625,1.2749999,-0.012499988,0.1875,0.07500005
-1.125,-0.1875,0.037499964,-0.08749999,-0.0625,-0.7125,-0.525,-0.012499988,0.26249993,0.07500005
1.875,0.26249993,0.037499964,-0.08749999,-0.0625,0.5625,-0.525,-0.012499988,-0.5625,0.07500005
-1.875,0.26249993,0.7125001,0.23750001,-0.08749999,-0.1875,-0.525,-0.012499988,0.3375001,0.07500005
1.875,-0.1875,0.7125001,0.23750001,-0.0625,0.5625,1.2749999,-0.012499988,-0.11249995,0.07500005
-1.125,-0.1875,-0.037499964,0.23750001,-0.0625,-0.7125,-0.525,-0.012499988,0.26249993,0.07500005
1.875,0.26249993,-0.037499964,0.23750001,-0.0625,0.5625,-0.525,-0.012499988,0.26249993,0.07500005
-1.875,-0.1875,-0.7125,0.23750001,-0.0625,-0.7125,1.2749999,-0.012499988,0.1875,0.07500005
-0.375,-0.1875,-0.037499964,0.23750001,-0.0625,0.5625,-1.275,-0.012499988,-0.11249995,0.07500005
-0.125,-0.1875,-0.037499964,0.23750001,-0.0625,-0.1875,1.2749999,-0.012499988,0.26249993,0.07500005
-0.125,-0.1875,-0.037499964,-0.1625,-0.0625,-0.1875,-1.275,-0.012499988,-0.11249995,0.07500005
-0.125,-0.1875,-0.7125,-0.08749999,-0.0625,-0.1875,1.2749999,-0.012499988,-0.11249995,0.07500005
1.875,0.26249993,0.4124999,0.23750001,0.012499988,-0.1875,-1.275,-0.012499988,-0.11249995,0.07500005
-1.875,-0.1875,-0.7125,0.23750001,-0.0625,0.5625,1.2749999,-0.012499988,-0.11249995,0.07500005
1.875,-0.1875,-0.037499964,0.23750001,-0.0625,-0.1875,-1.275,-0.012499988,-0.11249995,0.07500005
-1.125,-0.1875,0.037499964,0.23750001,-0.0625,-0.41250002,1.2749999,-0.012499988,-0.11249995,0.07500005
1.875,0.26249993,0.037499964,-0.08749999,-0.0625,0.48750007,-1.275,-0.012499988,-0.11249995,0.07500005
-1.125,-0.1875,0.7125001,-0.08749999,-0.0625,-0.1875,1.2749999,-0.012499988,-0.11249995,0.07500005
